"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","initial-clouds*","CO2-amount*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","171","500","0","0.9500000000000001","9","175","""2021115426""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","172","500","0","0.9500000000000001","9","175","""-942962533""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","173","500","0","0.9500000000000001","9","175","""483838227""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","174","500","0","0.9500000000000001","9","175","""2100616374""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","175","500","0","0.9500000000000001","9","175","""1792316040""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","176","500","0","0.9500000000000001","9","175","""1172177022""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","177","500","0","0.9500000000000001","9","175","""-960621005""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","178","500","0","0.9500000000000001","9","175","""21269818""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","179","500","0","0.9500000000000001","9","175","""833047825""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","180","500","0","0.9500000000000001","9","175","""-1663960882""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","181","500","4","0.6000000000000001","0","50","""1984941554""","31.366666826784044","31.366666826784044","31.366666826784044","0","31.366666826784044"
"1","182","500","4","0.6000000000000001","0","50","""141645458""","31.30814126238703","31.30814126238703","31.30814126238703","0","31.30814126238703"
"1","183","500","4","0.6000000000000001","0","50","""1808951415""","32.699358780573675","32.699358780573675","32.699358780573675","0","32.699358780573675"
"1","184","500","4","0.6000000000000001","0","50","""-153116553""","31.66014923043361","31.66014923043361","31.66014923043361","0","31.66014923043361"
"1","185","500","4","0.6000000000000001","0","50","""-762211066""","32.15746413592785","32.15746413592785","32.15746413592785","0","32.15746413592785"
"1","186","500","4","0.6000000000000001","0","50","""-942406997""","31.558171028689575","31.558171028689575","31.558171028689575","0","31.558171028689575"
"1","187","500","4","0.6000000000000001","0","50","""694862251""","30.92367791656326","30.92367791656326","30.92367791656326","0","30.92367791656326"
"1","188","500","4","0.6000000000000001","0","50","""1800780863""","33.198416529582275","33.198416529582275","33.198416529582275","0","33.198416529582275"
"1","189","500","4","0.6000000000000001","0","50","""-932237775""","31.901112869381564","31.901112869381564","31.901112869381564","0","31.901112869381564"
"1","190","500","4","0.6000000000000001","0","50","""229914134""","32.72364003329989","32.72364003329989","32.72364003329989","0","32.72364003329989"
"1","191","500","3.6","0.30000000000000004","3","200","""2025096691""","35.46701425515036","35.46701425515036","35.46701425515036","0","35.46701425515036"
"1","192","500","3.6","0.30000000000000004","3","200","""-973837289""","30.6016642501051","30.6016642501051","30.6016642501051","0","30.6016642501051"
"1","193","500","3.6","0.30000000000000004","3","200","""711023382""","30.532068219511466","30.532068219511466","30.532068219511466","0","30.532068219511466"
"1","194","500","3.6","0.30000000000000004","3","200","""1431883157""","37.09735513364127","37.09735513364127","37.09735513364127","0","37.09735513364127"
"1","195","500","3.6","0.30000000000000004","3","200","""813843167""","35.151720598678736","35.151720598678736","35.151720598678736","0","35.151720598678736"
"1","196","500","3.6","0.30000000000000004","3","200","""488980273""","35.47981538629984","35.47981538629984","35.47981538629984","0","35.47981538629984"
"1","197","500","3.6","0.30000000000000004","3","200","""-306945828""","36.22399706179689","36.22399706179689","36.22399706179689","0","36.22399706179689"
"1","198","500","3.6","0.30000000000000004","3","200","""-1867951370""","35.03736598293645","35.03736598293645","35.03736598293645","0","35.03736598293645"
"1","199","500","3.6","0.30000000000000004","3","200","""-520094560""","34.24038266875297","34.24038266875297","34.24038266875297","0","34.24038266875297"
"1","200","500","3.6","0.30000000000000004","3","200","""-621625259""","30.369435009992138","30.369435009992138","30.369435009992138","0","30.369435009992138"
"1","201","500","0.4","0.8","10","175","""768703961""","12.619284480342976","12.619284480342976","12.619284480342976","0","12.619284480342976"
"1","202","500","0.4","0.8","10","175","""-2097151698""","12.635673003034833","12.635673003034833","12.635673003034833","0","12.635673003034833"
"1","203","500","0.4","0.8","10","175","""522040340""","12.712972873062846","12.712972873062846","12.712972873062846","0","12.712972873062846"
"1","204","500","0.4","0.8","10","175","""-1451308283""","12.542278693290172","12.542278693290172","12.542278693290172","0","12.542278693290172"
"1","205","500","0.4","0.8","10","175","""1771843558""","12.725008549439977","12.725008549439977","12.725008549439977","0","12.725008549439977"
